State,District,Crop,Season,Season_Order,Crop_Year,Start_Year,End_Year,Season_Start_Month,Season_End_Month,Season_Months,Season_Start_Year,Season_End_Year,Season_Crosses_Calendar_Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Production_YoY_Change_Pct,Yield_YoY_Change_Pct,Area_YoY_Change_Pct,Production_3Y_Mean,Yield_3Y_Mean,Production_Deviation_From_3Y_Mean,Yield_Deviation_From_3Y_Mean
Bihar,Begusarai,Moong(Green Gram),Summer,5,2022-23,2022,2023,3,6,"3,4,5,6",2023,2023,0,148.0,88.0,0.59,2.325581,9.259259,-6.329114,90.666667,0.62,-2.666667,-0.03
Bihar,Begusarai,Onion,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,28.0,167.0,5.96,,,,,,,
Bihar,Begusarai,Onion,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,69.0,1034.0,14.99,,,,167.0,5.96,867.0,9.03
Bihar,Begusarai,Onion,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,62.0,905.0,14.6,-12.475822,-2.601734,-10.144928,600.5,10.475,304.5,4.125
Bihar,Begusarai,Other Kharif pulses,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,102.0,77.0,0.75,,,,,,,
Bihar,Begusarai,Other Kharif pulses,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,174.0,131.0,0.75,70.12987,0.0,70.588235,77.0,0.75,54.0,0.0
Bihar,Begusarai,Other Kharif pulses,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,48.0,36.0,0.75,-72.519084,0.0,-72.413793,104.0,0.75,-68.0,0.0
Bihar,Begusarai,Peas & beans (Pulses),Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,1475.0,1630.0,1.11,,,,,,,
Bihar,Begusarai,Peas & beans (Pulses),Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,1235.0,1338.0,1.08,-17.91411,-2.702703,-16.271186,1630.0,1.11,-292.0,-0.03
Bihar,Begusarai,Peas & beans (Pulses),Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,1353.0,1518.0,1.12,13.452915,3.703704,9.554656,1484.0,1.095,34.0,0.025
Bihar,Begusarai,Peas & beans (Pulses),Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,1321.0,1457.0,1.1,-4.018445,-1.785714,-2.365115,1495.333333,1.103333,-38.333333,-0.003333
Bihar,Begusarai,Peas & beans (Pulses),Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1279.0,1965.0,1.54,34.866163,40.0,-3.17941,1437.666667,1.1,527.333333,0.44
Bihar,Begusarai,Potato,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,3482.0,57829.0,16.61,,,,,,,
Bihar,Begusarai,Potato,Winter,4,2018-19,2018,2019,11,2,"11,12,1,2",2018,2019,1,2165.0,32908.0,15.2,,,,,,,
Bihar,Begusarai,Potato,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,2979.0,41465.0,13.92,-28.297221,-16.195063,-14.445721,57829.0,16.61,-16364.0,-2.69
Bihar,Begusarai,Potato,Winter,4,2019-20,2019,2020,11,2,"11,12,1,2",2019,2020,1,3510.0,50705.0,14.45,54.081075,-4.934211,62.124711,32908.0,15.2,17797.0,-0.75
Bihar,Begusarai,Potato,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,3714.0,73675.0,19.84,77.679971,42.528736,24.672709,49647.0,15.265,24028.0,4.575
Bihar,Begusarai,Potato,Winter,4,2020-21,2020,2021,11,2,"11,12,1,2",2020,2021,1,3680.0,92442.0,25.12,82.313381,73.84083,4.843305,41806.5,14.825,50635.5,10.295
Bihar,Begusarai,Potato,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,4308.0,54117.0,12.56,-26.546318,-36.693548,15.993538,57656.333333,16.79,-3539.333333,-4.23
Bihar,Begusarai,Potato,Winter,4,2021-22,2021,2022,11,2,"11,12,1,2",2021,2022,1,7706.0,141883.0,18.41,53.483265,-26.711783,109.402174,58685.0,18.256667,83198.0,0.153333
Bihar,Begusarai,Potato,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,4613.0,57363.0,12.44,5.998115,-0.955414,7.079851,56419.0,15.44,944.0,-3.0
Bihar,Begusarai,Ragi,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,1.0,1.0,1.0,,,,,,,
Bihar,Begusarai,Ragi,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Bihar,Begusarai,Rapeseed &Mustard,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,7740.0,9125.0,1.18,,,,,,,
Bihar,Begusarai,Rapeseed &Mustard,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,7271.0,9380.0,1.29,2.794521,9.322034,-6.059432,9125.0,1.18,255.0,0.11
Bihar,Begusarai,Rapeseed &Mustard,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,8365.0,9494.0,1.13,1.215352,-12.403101,15.046073,9252.5,1.235,241.5,-0.105
Bihar,Begusarai,Rapeseed &Mustard,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,9930.0,7557.0,0.76,-20.402359,-32.743363,18.708906,9333.0,1.2,-1776.0,-0.44
Bihar,Begusarai,Rapeseed &Mustard,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,9916.0,16748.0,1.69,121.622337,122.368421,-0.140987,8810.333333,1.06,7937.666667,0.63
Bihar,Begusarai,Rice,Winter,4,2018-19,2018,2019,11,2,"11,12,1,2",2018,2019,1,16017.0,27485.0,1.72,,,,,,,
Bihar,Begusarai,Rice,Autumn,2,2019-20,2019,2020,8,11,"8,9,10,11",2019,2019,0,271.0,366.0,1.35,,,,,,,
Bihar,Begusarai,Rice,Winter,4,2019-20,2019,2020,11,2,"11,12,1,2",2019,2020,1,10756.0,22875.0,2.13,-16.772785,23.837209,-32.846351,27485.0,1.72,-4610.0,0.41
Bihar,Begusarai,Rice,Autumn,2,2020-21,2020,2021,8,11,"8,9,10,11",2020,2020,0,86.0,136.0,1.58,-62.84153,17.037037,-68.265683,366.0,1.35,-230.0,0.23
Bihar,Begusarai,Rice,Winter,4,2020-21,2020,2021,11,2,"11,12,1,2",2020,2021,1,9808.0,24130.0,2.46,5.486339,15.492958,-8.813685,25180.0,1.925,-1050.0,0.535
Bihar,Begusarai,Rice,Winter,4,2021-22,2021,2022,11,2,"11,12,1,2",2021,2022,1,12230.0,29261.0,2.39,21.263987,-2.845528,24.694127,24830.0,2.103333,4431.0,0.286667
Bihar,Begusarai,Rice,Winter,4,2022-23,2022,2023,11,2,"11,12,1,2",2022,2023,1,12049.0,32796.0,2.72,12.080927,13.807531,-1.479967,25422.0,2.326667,7374.0,0.393333
Bihar,Begusarai,Sannhamp,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,23.0,18.0,0.78,,,,,,,
Bihar,Begusarai,Sannhamp,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,24.0,19.0,0.79,5.555556,1.282051,4.347826,18.0,0.78,1.0,0.01
Bihar,Begusarai,Sannhamp,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,12.0,10.0,0.83,-47.368421,5.063291,-50.0,18.5,0.785,-8.5,0.045
Bihar,Begusarai,Sesamum,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,13.0,11.0,0.85,,,,,,,
Bihar,Begusarai,Sesamum,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,22.0,19.0,0.86,72.727273,1.176471,69.230769,11.0,0.85,8.0,0.01
Bihar,Begusarai,Sesamum,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,4.0,3.0,0.75,-84.210526,-12.790698,-81.818182,15.0,0.855,-12.0,-0.105
Bihar,Begusarai,Sesamum,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,16.0,14.0,0.88,366.666667,17.333333,300.0,11.0,0.82,3.0,0.06
Bihar,Begusarai,Sesamum,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,13.0,12.0,0.92,-14.285714,4.545455,-18.75,12.0,0.83,0.0,0.09
Bihar,Begusarai,Small millets,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,7830.0,5873.0,0.75,,,,,,,
Bihar,Begusarai,Small millets,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,39.0,29.0,0.74,,,,5873.0,0.75,-5844.0,-0.01
Bihar,Begusarai,Small millets,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,168.0,127.0,0.76,337.931034,2.702703,330.769231,29.0,0.74,98.0,0.02
Bihar,Begusarai,Soyabean,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,17202.0,13142.0,0.76,,,,,,,
Bihar,Begusarai,Soyabean,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,22967.0,10450.0,0.46,-20.483945,-39.473684,33.513545,13142.0,0.76,-2692.0,-0.3
Bihar,Begusarai,Soyabean,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,22038.0,16837.0,0.76,61.119617,65.217391,-4.044934,11796.0,0.61,5041.0,0.15
Bihar,Begusarai,Soyabean,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,17152.0,15523.0,0.91,-7.804241,19.736842,-22.170796,13476.333333,0.66,2046.666667,0.25
Bihar,Begusarai,Sunflower,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,21.0,31.0,1.48,,,,,,,
Bihar,Begusarai,Sunflower,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,152.0,226.0,1.49,629.032258,0.675676,623.809524,31.0,1.48,195.0,0.01
Bihar,Begusarai,Sunflower,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,169.0,252.0,1.49,11.504425,0.0,11.184211,128.5,1.485,123.5,0.005
Bihar,Begusarai,Urad,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,828.0,740.0,0.89,,,,,,,
Bihar,Begusarai,Urad,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,417.0,364.0,0.87,-50.810811,-2.247191,-49.637681,740.0,0.89,-376.0,-0.02
Bihar,Begusarai,Urad,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,485.0,430.0,0.89,18.131868,2.298851,16.306954,552.0,0.88,-122.0,0.01
Bihar,Begusarai,Urad,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,525.0,576.0,1.1,33.953488,23.595506,8.247423,511.333333,0.883333,64.666667,0.216667
Bihar,Begusarai,Urad,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,319.0,378.0,1.18,-34.375,7.272727,-39.238095,456.666667,0.953333,-78.666667,0.226667
Bihar,Begusarai,Wheat,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,68281.0,257791.0,3.78,,,,,,,
Bihar,Begusarai,Wheat,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,61723.0,230943.0,3.74,-10.414638,-1.058201,-9.604429,257791.0,3.78,-26848.0,-0.04
Bihar,Begusarai,Wheat,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,72271.0,263112.0,3.64,13.929411,-2.673797,17.089254,244367.0,3.76,18745.0,-0.12
Bihar,Begusarai,Wheat,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,69512.0,256212.0,3.69,-2.622457,1.373626,-3.817576,250615.333333,3.72,5596.666667,-0.03
Bihar,Begusarai,Wheat,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,69784.0,268165.0,3.84,4.665277,4.065041,0.391299,250089.0,3.69,18076.0,0.15
Bihar,Bhagalpur,Arhar/Tur,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,452.0,375.0,0.83,,,,,,,
Bihar,Bhagalpur,Arhar/Tur,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,457.0,755.0,1.65,101.333333,98.795181,1.106195,375.0,0.83,380.0,0.82
Bihar,Bhagalpur,Arhar/Tur,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,294.0,502.0,1.71,-33.509934,3.636364,-35.667396,565.0,1.24,-63.0,0.47
Bihar,Bhagalpur,Arhar/Tur,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,173.0,307.0,1.77,-38.844622,3.508772,-41.156463,544.0,1.396667,-237.0,0.373333
Bihar,Bhagalpur,Arhar/Tur,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,174.0,514.0,2.95,67.42671,66.666667,0.578035,521.333333,1.71,-7.333333,1.24
Bihar,Bhagalpur,Bajra,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,11.0,12.0,1.09,,,,,,,
Bihar,Bhagalpur,Bajra,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,14.0,16.0,1.14,33.333333,4.587156,27.272727,12.0,1.09,4.0,0.05
Bihar,Bhagalpur,Bajra,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,14.0,16.0,1.14,0.0,0.0,0.0,14.0,1.115,2.0,0.025
Bihar,Bhagalpur,Bajra,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,13.0,15.0,1.15,-6.25,0.877193,-7.142857,14.666667,1.123333,0.333333,0.026667
Bihar,Bhagalpur,Bajra,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,14.0,16.0,1.14,6.666667,-0.869565,7.692308,15.666667,1.143333,0.333333,-0.003333
Bihar,Bhagalpur,Barley,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,1211.0,1052.0,0.87,,,,,,,
Bihar,Bhagalpur,Barley,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,1208.0,1284.0,1.06,22.053232,21.83908,-0.247729,1052.0,0.87,232.0,0.19
Bihar,Bhagalpur,Barley,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,1421.0,2642.0,1.86,105.76324,75.471698,17.63245,1168.0,0.965,1474.0,0.895
Bihar,Bhagalpur,Barley,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,1331.0,1141.0,0.86,-56.81302,-53.763441,-6.333568,1659.333333,1.263333,-518.333333,-0.403333
Bihar,Bhagalpur,Barley,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1343.0,1405.0,1.05,23.137599,22.093023,0.901578,1689.0,1.26,-284.0,-0.21
Bihar,Bhagalpur,Castor seed,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,7.0,7.0,1.0,,,,,,,
Bihar,Bhagalpur,Castor seed,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,7.0,7.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
Bihar,Bhagalpur,Castor seed,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,7.0,7.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
Bihar,Bhagalpur,Castor seed,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,7.0,7.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
Bihar,Bhagalpur,Castor seed,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,7.0,7.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
Bihar,Bhagalpur,Dry chillies,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,19.0,43.0,2.26,,,,,,,
Bihar,Bhagalpur,Dry chillies,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,19.0,39.0,2.05,,,,43.0,2.26,-4.0,-0.21
Bihar,Bhagalpur,Gram,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,2284.0,2037.0,0.89,,,,,,,
Bihar,Bhagalpur,Gram,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,2273.0,1571.0,0.69,-22.87678,-22.47191,-0.481611,2037.0,0.89,-466.0,-0.2
Bihar,Bhagalpur,Gram,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,1741.0,1798.0,1.03,14.449395,49.275362,-23.405191,1804.0,0.79,-6.0,0.24
Bihar,Bhagalpur,Gram,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,1626.0,1382.0,0.85,-23.136819,-17.475728,-6.605399,1802.0,0.87,-420.0,-0.02
Bihar,Bhagalpur,Gram,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1646.0,1337.0,0.81,-3.256151,-4.705882,1.230012,1583.666667,0.856667,-246.666667,-0.046667
Bihar,Bhagalpur,Horse-gram,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,2343.0,2151.0,0.92,,,,,,,
Bihar,Bhagalpur,Horse-gram,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,2300.0,2157.0,0.94,0.27894,2.173913,-1.835254,2151.0,0.92,6.0,0.02
Bihar,Bhagalpur,Horse-gram,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,2270.0,2125.0,0.94,-1.483542,0.0,-1.304348,2154.0,0.93,-29.0,0.01
Bihar,Bhagalpur,Horse-gram,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,2258.0,2102.0,0.93,-1.082353,-1.06383,-0.528634,2144.333333,0.933333,-42.333333,-0.003333
Bihar,Bhagalpur,Horse-gram,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,2259.0,2085.0,0.92,-0.808754,-1.075269,0.044287,2128.0,0.936667,-43.0,-0.016667
Bihar,Bhagalpur,Jowar,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,9.0,10.0,1.11,,,,,,,
Bihar,Bhagalpur,Jowar,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,12.0,13.0,1.08,,,,10.0,1.11,3.0,-0.03
Bihar,Bhagalpur,Jowar,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,13.0,14.0,1.08,7.692308,0.0,8.333333,11.5,1.095,2.5,-0.015
Bihar,Bhagalpur,Jowar,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,13.0,14.0,1.08,0.0,0.0,0.0,13.5,1.08,0.5,0.0
Bihar,Bhagalpur,Khesari,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,1366.0,665.0,0.49,,,,,,,
Bihar,Bhagalpur,Khesari,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,1366.0,826.0,0.6,24.210526,22.44898,0.0,665.0,0.49,161.0,0.11
Bihar,Bhagalpur,Khesari,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,1308.0,753.0,0.58,-8.837772,-3.333333,-4.245974,745.5,0.545,7.5,0.035
Bihar,Bhagalpur,Khesari,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,1196.0,859.0,0.72,14.077025,24.137931,-8.562691,748.0,0.556667,111.0,0.163333
Bihar,Bhagalpur,Khesari,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1208.0,910.0,0.75,5.937136,4.166667,1.003344,812.666667,0.633333,97.333333,0.116667
Bihar,Bhagalpur,Linseed,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,847.0,718.0,0.85,,,,,,,
Bihar,Bhagalpur,Linseed,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,846.0,714.0,0.84,-0.557103,-1.176471,-0.118064,718.0,0.85,-4.0,-0.01
Bihar,Bhagalpur,Linseed,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,598.0,507.0,0.85,-28.991597,1.190476,-29.314421,716.0,0.845,-209.0,0.005
Bihar,Bhagalpur,Linseed,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,576.0,488.0,0.85,-3.747535,0.0,-3.67893,646.333333,0.846667,-158.333333,0.003333
Bihar,Bhagalpur,Linseed,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,582.0,497.0,0.85,1.844262,0.0,1.041667,569.666667,0.846667,-72.666667,0.003333
Bihar,Bhagalpur,Maize,Autumn,2,2018-19,2018,2019,8,11,"8,9,10,11",2018,2018,0,13403.0,37260.0,2.78,,,,,,,
Bihar,Bhagalpur,Maize,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,15629.0,127111.0,8.13,,,,,,,
Bihar,Bhagalpur,Maize,Summer,5,2018-19,2018,2019,3,6,"3,4,5,6",2019,2019,0,1142.0,5764.0,5.05,,,,,,,
Bihar,Bhagalpur,Maize,Autumn,2,2019-20,2019,2020,8,11,"8,9,10,11",2019,2019,0,13931.0,36781.0,2.64,-1.285561,-5.035971,3.939417,37260.0,2.78,-479.0,-0.14
Bihar,Bhagalpur,Maize,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,15686.0,114602.0,7.31,-9.841005,-10.086101,0.364707,127111.0,8.13,-12509.0,-0.82
Bihar,Bhagalpur,Maize,Summer,5,2019-20,2019,2020,3,6,"3,4,5,6",2020,2020,0,4463.0,22954.0,5.14,298.230396,1.782178,290.805604,5764.0,5.05,17190.0,0.09
Bihar,Bhagalpur,Maize,Autumn,2,2020-21,2020,2021,8,11,"8,9,10,11",2020,2020,0,8855.0,31832.0,3.59,-13.455317,35.984848,-36.436724,37020.5,2.71,-5188.5,0.88
Bihar,Bhagalpur,Maize,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,17324.0,106092.0,6.12,-7.425699,-16.27907,10.442433,120856.5,7.72,-14764.5,-1.6
Bihar,Bhagalpur,Maize,Summer,5,2020-21,2020,2021,3,6,"3,4,5,6",2021,2021,0,1704.0,10745.0,6.31,-53.188987,22.762646,-61.819404,14359.0,5.095,-3614.0,1.215
Bihar,Bhagalpur,Maize,Autumn,2,2021-22,2021,2022,8,11,"8,9,10,11",2021,2021,0,8533.0,11793.0,1.38,-62.952375,-61.559889,-3.636364,35291.0,3.003333,-23498.0,-1.623333
Bihar,Bhagalpur,Maize,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,16406.0,120092.0,7.32,13.196094,19.607843,-5.299007,115935.0,7.186667,4157.0,0.133333
Bihar,Bhagalpur,Maize,Summer,5,2021-22,2021,2022,3,6,"3,4,5,6",2022,2022,0,1702.0,9063.0,5.32,-15.653792,-15.689382,-0.117371,13154.333333,5.5,-4091.333333,-0.18
Bihar,Bhagalpur,Maize,Autumn,2,2022-23,2022,2023,8,11,"8,9,10,11",2022,2022,0,12395.0,26124.0,2.11,121.521241,52.898551,45.25958,26802.0,2.536667,-678.0,-0.426667
Bihar,Bhagalpur,Maize,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,16499.0,114091.0,6.92,-4.997002,-5.464481,0.566866,113595.333333,6.916667,495.666667,0.003333
Bihar,Bhagalpur,Maize,Summer,5,2022-23,2022,2023,3,6,"3,4,5,6",2023,2023,0,1706.0,4893.0,2.87,-46.011255,-46.052632,0.235018,14254.0,5.59,-9361.0,-2.72
Bihar,Bhagalpur,Masoor,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,2021.0,1081.0,0.53,,,,,,,
Bihar,Bhagalpur,Masoor,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,2064.0,1203.0,0.58,11.285846,9.433962,2.12766,1081.0,0.53,122.0,0.05
Bihar,Bhagalpur,Masoor,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,3460.0,2325.0,0.67,93.266833,15.517241,67.635659,1142.0,0.555,1183.0,0.115
Bihar,Bhagalpur,Masoor,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,3124.0,2262.0,0.72,-2.709677,7.462687,-9.710983,1536.333333,0.593333,725.666667,0.126667
Bihar,Bhagalpur,Masoor,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,3159.0,2180.0,0.69,-3.625111,-4.166667,1.120359,1930.0,0.656667,250.0,0.033333
Bihar,Bhagalpur,Mesta,Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,42.0,81.0,1.93,,,,,,,
Bihar,Bhagalpur,Mesta,Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,42.0,86.0,2.05,6.17284,6.217617,0.0,81.0,1.93,5.0,0.12
Bihar,Bhagalpur,Mesta,Kharif,1,2020-21,2020,2021,6,10,"6,7,8,9,10",2020,2020,0,36.0,472.22,13.12,449.093023,540.0,-14.285714,83.5,1.99,388.72,11.13
Bihar,Bhagalpur,Mesta,Kharif,1,2021-22,2021,2022,6,10,"6,7,8,9,10",2021,2021,0,36.0,394.44,10.96,-16.471136,-16.463415,0.0,213.073333,5.7,181.366667,5.26
Bihar,Bhagalpur,Mesta,Kharif,1,2022-23,2022,2023,6,10,"6,7,8,9,10",2022,2022,0,35.0,416.67,11.9,5.635838,8.576642,-2.777778,317.553333,8.71,99.116667,3.19
Bihar,Bhagalpur,Moong(Green Gram),Kharif,1,2018-19,2018,2019,6,10,"6,7,8,9,10",2018,2018,0,1142.0,498.0,0.44,,,,,,,
Bihar,Bhagalpur,Moong(Green Gram),Summer,5,2018-19,2018,2019,3,6,"3,4,5,6",2019,2019,0,68.0,48.0,0.71,,,,,,,
Bihar,Bhagalpur,Moong(Green Gram),Kharif,1,2019-20,2019,2020,6,10,"6,7,8,9,10",2019,2019,0,1144.0,496.0,0.43,-0.401606,-2.272727,0.175131,498.0,0.44,-2.0,-0.01
